,,,,,,,,,,,,,
CONFIDENTIAL DRAFT - FOR DISCUSSION PURPOSES ONLY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Genesis I (BVI),0xf3342d2740622B001558AC632A4FE3383772EEEd,,,,,,,,,
,,,Genesis II (Fdn),0xC511541a041616F15E129C064E6bBCDb5cBA14d6,,,,,,,,,
,,,Grayscale,0xce1eF60a9A4829D4EF5542D34f9ea7b95ce0C833,,,,,TRUE,,,,
,,,Toku multisig (x2B),0x9e2d915F6c10bD33F8b5f2eE155c9F76c2486E9B,,,,,Unique 102,,,,
,Indiv 113,,,,,100.0000%,"5,000,000,000",5.00E+27,Indiv 113,,26,18,17
,Segment,Wallet ID,Delivery Status,TGE Destination,Final Destination,%,SXT, attoSXT,TGE Address,Etherscan Link,ethBalance,sxtBalance,
,Team,Washington DC,Delivered,Anchorage,Anchorage,0.5791%,"28,956,459",2.90E+25,0xfB344d3159193c693c3451749c321226806cEEf3,View on Etherscan,Loading...,Loading...,Loading...
,Team,Rocky Mountain,Delivered,Anchorage,Anchorage,0.5910%,"29,549,641",2.95E+25,0xD309C1F2b2a2911377A9EA1Ab4Fad5196BaD9df7,View on Etherscan,Loading...,Loading...,Loading...
,Team,Zion,Delivered,Anchorage,Anchorage,0.5926%,"29,632,333",2.96E+25,0xd058C168dC99C3ab6710f4c4De4CE6223123214F,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Theodore Roosevelt,Delivered,Anchorage,Anchorage,0.6268%,"31,340,348",3.13E+25,0x72cfF19f0ebC172a90D185DC5F3E2A5b8C80EbB0,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Kansas,Delivered,Anchorage,Anchorage,0.6305%,"31,526,985",3.15E+25,0x7DaE3eEeAB6b9F2491E20541187e0296432C0734,View on Etherscan,Loading...,Loading...,Loading...
,Team,Nevada,Delivered,Anchorage,Anchorage,0.6532%,"32,659,666",3.27E+25,0xdf2523dCAf0AdC31e46C8510844c842D88De3378,View on Etherscan,Loading...,Loading...,Loading...
,Team,North Carolina,Delivered,Anchorage,Anchorage,0.6732%,"33,659,652",3.37E+25,0x642f34e8F15d64D21a95D3FAEaD3559bf97863e8,View on Etherscan,Loading...,Loading...,Loading...
,Team,Oklahoma,Delivered,Anchorage,Grayscale,1.0000%,"50,000,000",5.00E+25,0x54cD27AeA0689439264150F5C7B47398567dB502,View on Etherscan,Loading...,Loading...,FALSE
,Team,Grand Teton,Delivered,Anchorage,Grayscale,1.0000%,"50,000,000",5.00E+25,0x53D993F799306C010Bde5dD6c1a68836C591b131,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Investors,Investors TGE,Delivered,Genesis I (BVI),Toku multisig,25.9070%,"1,295,350,000",1.295E+27,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Loading...,TRUE
,Treasury,Grayscale,Delivered,Genesis I (BVI),Grayscale,2.0000%,"100,000,000",1.000E+26,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Error: NOTOK,TRUE
,Treasury,Foundation,Delivered,Genesis I (BVI),Foundation,14.0155%,"700,775,000",7.008E+26,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Loading...,TRUE
,Ecosystem,Balance (Team old to Eco),Delivered,Genesis I (BVI),Foundation,1.3739%,"68,696,601",6.870E+25,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Loading...,TRUE
,Ecosystem,Partners,Delivered,Genesis I (BVI),Foundation,4.6275%,"231,375,000",2.314E+26,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Error: NOTOK,Loading...,TRUE
,Ecosystem,Airdrops (commits),Delivered,Genesis I (BVI),Genesis I (BVI),4.0000%,"200,000,000",2.000E+26,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Loading...,TRUE
,Ecosystem,Foundation Airdrop / Retrodrop,Delivered,Genesis I (BVI),Foundation,2.0000%,"100,000,000",1.00E+26,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Loading...,TRUE
,Ecosystem,Airdrops (swaps) ,Delivered,Genesis I (BVI),Foundation,4.5000%,"225,000,000",2.25E+26,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Loading...,TRUE
,Ecosystem,Airdrops (other),Delivered,Genesis I (BVI),Foundation,2.5000%,"125,000,000",1.25E+26,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Loading...,TRUE
,Ecosystem,Staking Rewards,Delivered,Genesis I (BVI),Foundation,10.0000%,"500,000,000",5.00E+26,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Loading...,TRUE
,Ecosystem,Grants,Delivered,Genesis I (BVI),Foundation,4.0000%,"200,000,000",2.00E+26,0xf3342d2740622B001558AC632A4FE3383772EEEd,View on Etherscan,Loading...,Loading...,TRUE
